17,Quentin Hall,CS,Operating Systems,6,5.0
17,Quentin Hall,CS,Networks,5,4.5
17,Quentin Hall,CS,OOP,6,4.5
17,Quentin Hall,CS,Algorithms,5,4.0

18,Rachel King,Physics,Thermodynamics,5,3.5
18,Rachel King,Physics,Quantum Physics,6,4.0
18,Rachel King,Physics,Mechanics,6,3.5
18,Rachel King,Physics,Optics,5,4.0

19,Samuel Wright,CS,Databases,5,3.0
19,Samuel Wright,CS,Software Engineering,6,3.5
19,Samuel Wright,CS,OOP,6,3.5
19,Samuel Wright,CS,Algorithms,5,3.0

20,Tina Lopez,Math,Calculus,6,4.0
20,Tina Lopez,Math,Algebra,6,4.5
20,Tina Lopez,Math,Statistics,5,4.0
20,Tina Lopez,Math,Probability,5,4.5

21,Umar Khan,CS,OOP,6,4.5
21,Umar Khan,CS,Algorithms,5,4.0
21,Umar Khan,CS,Databases,5,4.5
21,Umar Khan,CS,Software Engineering,6,4.0

22,Victoria Scott,Physics,Electromagnetism,5,4.5
22,Victoria Scott,Physics,Mechanics,6,4.0
22,Victoria Scott,Physics,Optics,5,4.0
22,Victoria Scott,Physics,Quantum Physics,6,4.5

23,William Green,Math,Probability,5,3.5
23,William Green,Math,Statistics,5,4.0
23,William Green,Math,Calculus,6,4.0
23,William Green,Math,Algebra,6,4.5

24,Xenia Adams,CS,Web Programming,5,5.0
24,Xenia Adams,CS,Databases,5,4.5
24,Xenia Adams,CS,OOP,6,4.5
24,Xenia Adams,CS,Software Engineering,6,5.0

25,Yusuf Patel,CS,Networks,5,3.5
25,Yusuf Patel,CS,Operating Systems,6,4.0
25,Yusuf Patel,CS,OOP,6,4.0
25,Yusuf Patel,CS,Algorithms,5,3.5

26,Zara Brooks,Math,Algebra,6,4.0
26,Zara Brooks,Math,Calculus,6,4.5
26,Zara Brooks,Math,Statistics,5,4.0
26,Zara Brooks,Math,Probability,5,4.5

27,Adam Novak,Physics,Optics,5,3.5
27,Adam Novak,Physics,Quantum Physics,6,4.0
27,Adam Novak,Physics,Mechanics,6,3.5
27,Adam Novak,Physics,Thermodynamics,5,4.0

28,Bianca Rossi,CS,Software Engineering,6,5.0
28,Bianca Rossi,CS,OOP,6,4.5
28,Bianca Rossi,CS,Databases,5,4.5
28,Bianca Rossi,CS,Algorithms,5,4.0

29,Carlos Mendes,Math,Statistics,5,4.5
29,Carlos Mendes,Math,Probability,5,5.0
29,Carlos Mendes,Math,Calculus,6,4.5
29,Carlos Mendes,Math,Algebra,6,4.5

30,Daria Popescu,CS,Algorithms,5,4.0
30,Daria Popescu,CS,Databases,5,4.5
30,Daria Popescu,CS,OOP,6,4.0
30,Daria Popescu,CS,Web Programming,5,4.5
